time,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y
8.73,292.0698547363281,162.30612182617188,325.5029296875,179.56027221679688,269.00909423828125,194.6046905517578,323.02093505859375,221.31771850585938,271.00396728515625,241.07809448242188,291.7206115722656,237.54971313476562,305.8001708984375,216.13426208496094,350.4049072265625,277.2344970703125,314.1825866699219,285.6846923828125
9.16,294.707763671875,161.09298706054688,329.63519287109375,176.64410400390625,276.1275939941406,189.85208129882812,323.0833435058594,199.349609375,280.146240234375,235.45008850097656,286.36431884765625,197.58082580566406,315.9256286621094,213.73011779785156,352.81304931640625,282.677490234375,316.7822265625,289.9019775390625
9.63,303.9833984375,143.25738525390625,347.1177673339844,168.81356811523438,289.0044250488281,182.88685607910156,362.6698303222656,201.44790649414062,277.3829040527344,233.95223999023438,321.1522216796875,208.267333984375,272.4638977050781,247.63272094726562,367.5360107421875,284.67919921875,330.73614501953125,289.7120361328125
10.08,350.84576416015625,137.25686645507812,389.1456298828125,167.2562713623047,348.7839050292969,169.12759399414062,395.5054626464844,215.43109130859375,343.824462890625,213.60211181640625,352.75726318359375,209.681640625,337.187255859375,208.42306518554688,379.4680480957031,268.608642578125,357.16619873046875,267.448974609375
10.56,359.1896057128906,128.01693725585938,398.6218566894531,162.4017333984375,370.1517333984375,162.97906494140625,396.47711181640625,212.4508056640625,369.11749267578125,209.09637451171875,356.2621765136719,211.3443603515625,352.4829406738281,207.1857452392578,393.5712585449219,263.2578430175781,375.0658264160156,262.0451354980469
10.99,363.13214111328125,130.5283966064453,393.912841796875,161.60345458984375,364.62335205078125,163.86155700683594,389.65130615234375,211.4639892578125,366.4579772949219,212.13714599609375,349.32855224609375,210.37318420410156,346.39031982421875,210.14283752441406,392.84375,264.43536376953125,373.9244384765625,264.47332763671875
11.42,352.90863037109375,137.14288330078125,379.5087890625,165.4082489013672,352.18682861328125,169.34303283691406,375.80352783203125,211.9925079345703,352.94683837890625,216.08087158203125,335.13262939453125,204.7432098388672,337.67193603515625,209.40560913085938,386.28936767578125,261.9385986328125,369.3326721191406,262.6763000488281
11.84,328.98187255859375,131.28701782226562,360.7479553222656,159.93496704101562,325.0059814453125,180.28781127929688,345.47412109375,194.20021057128906,315.0071716308594,235.29653930664062,304.74603271484375,184.26333618164062,281.5887145996094,209.0299530029297,372.7299499511719,266.62969970703125,348.6680603027344,273.53948974609375
12.21,318.3866271972656,111.28085327148438,350.11260986328125,146.72589111328125,306.45660400390625,159.93099975585938,387.46685791015625,135.45480346679688,351.8258972167969,158.29425048828125,401.5733337402344,104.06793212890625,393.3497619628906,122.3304443359375,364.7782897949219,257.8089599609375,334.66094970703125,262.4869689941406
12.69,321.5789794921875,102.7547607421875,352.85400390625,147.29273986816406,303.7967224121094,150.21438598632812,393.98046875,153.024169921875,352.2412414550781,150.7537841796875,407.9144592285156,112.99502563476562,395.1985778808594,103.7486572265625,363.2492980957031,254.4876251220703,328.46795654296875,255.7744140625
13.12,318.09613037109375,103.20809936523438,351.97174072265625,143.41836547851562,308.70538330078125,149.15078735351562,395.54791259765625,148.0459442138672,367.3978576660156,147.4497833251953,412.054443359375,112.47972106933594,406.6304931640625,110.97950744628906,365.06781005859375,254.69581604003906,333.8597412109375,256.5269775390625
13.59,321.7230529785156,103.05754089355469,354.6286926269531,146.362060546875,309.8554992675781,149.3199920654297,397.5588684082031,151.01809692382812,364.2765197753906,142.8866424560547,412.6523742675781,110.27018737792969,400.19525146484375,96.40937805175781,366.5309753417969,259.415771484375,334.75262451171875,260.0955505371094
14.01,320.8511047363281,103.85812377929688,357.7708435058594,145.61424255371094,306.1410827636719,148.59410095214844,401.8872375488281,148.7822265625,350.0896301269531,144.49337768554688,416.3626708984375,109.05734252929688,390.9429016113281,97.49818420410156,366.7902526855469,256.587158203125,330.7981262207031,257.4420471191406
14.45,319.84539794921875,110.857421875,360.71240234375,148.0852813720703,299.7677917480469,159.86526489257812,375.85931396484375,189.56588745117188,303.2646789550781,194.78518676757812,318.19464111328125,186.24362182617188,322.59954833984375,183.42678833007812,361.8294677734375,257.89984130859375,322.07171630859375,260.7722473144531
