time,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y
31.6,280.6950988769531,319.5674133300781,284.0672302246094,328.8739318847656,326.4002380371094,221.91604614257812,273.29205322265625,225.84190368652344
32.07,278.77410888671875,331.1513977050781,263.73553466796875,330.5189208984375,329.5986328125,224.22735595703125,267.8826904296875,227.1718292236328
32.56,291.7832336425781,293.4312744140625,267.04217529296875,286.3429870605469,339.5693359375,224.4288330078125,269.4640197753906,224.6532745361328
33.03,304.5120544433594,280.0417175292969,276.8960876464844,279.8884582519531,345.91705322265625,228.34393310546875,282.1651916503906,233.03041076660156
33.69,341.9765625,267.86767578125,303.8121032714844,268.079833984375,363.09930419921875,233.36705017089844,294.9596252441406,237.05935668945312
34.19,370.0848388671875,282.8459167480469,335.1084289550781,279.8306884765625,396.71490478515625,243.28463745117188,328.47332763671875,239.294677734375
34.74,388.4193420410156,295.310302734375,351.17828369140625,286.08282470703125,411.48046875,247.2677001953125,344.4897155761719,240.7167510986328
35.38,328.83758544921875,293.6311340332031,345.3573913574219,288.794189453125,383.8072509765625,243.15679931640625,316.78369140625,237.0516357421875
35.79,272.7351379394531,275.5986633300781,257.8706970214844,280.79071044921875,342.14501953125,229.33270263671875,291.93115234375,227.49949645996094
36.24,294.7768859863281,166.91004943847656,265.7514343261719,195.96226501464844,346.3745422363281,200.076904296875,286.2767333984375,212.77613830566406
36.89,400.1363525390625,147.93630981445312,399.1842346191406,131.19105529785156,334.33648681640625,198.1700439453125,300.9510803222656,197.50942993164062
37.41,383.57196044921875,170.848388671875,374.8404235839844,155.9734649658203,355.6134033203125,200.75364685058594,306.8587951660156,194.52072143554688
37.99,417.52056884765625,209.2194366455078,417.337158203125,165.85699462890625,369.5874328613281,220.91659545898438,319.39935302734375,204.7288818359375
38.46,428.2421875,327.76983642578125,266.2944030761719,264.2932434082031,416.6651916503906,236.67025756835938,347.69622802734375,228.56568908691406
39.13,472.3702087402344,281.19537353515625,418.1896667480469,268.8956298828125,452.4372863769531,238.1227569580078,383.1058349609375,233.15069580078125
39.57,480.2284851074219,351.57537841796875,340.3398132324219,333.87554931640625,458.0662841796875,240.41416931152344,390.1139831542969,237.1599884033203
40.22,468.009765625,346.25213623046875,348.3818054199219,325.72625732421875,452.45538330078125,238.58004760742188,381.0487060546875,236.34510803222656
40.7,335.9996337890625,271.2530517578125,317.5672607421875,268.24859619140625,408.4120178222656,227.62069702148438,337.00616455078125,225.8366241455078
41.36,317.8061828613281,297.97149658203125,293.20068359375,309.4515380859375,385.69970703125,202.83413696289062,310.005615234375,209.12701416015625
41.79,332.5013732910156,346.7476501464844,313.9232177734375,344.57672119140625,383.4715881347656,194.19630432128906,303.9518737792969,202.7508544921875
42.44,332.6098937988281,345.9579772949219,315.6004943847656,346.99737548828125,383.7853698730469,193.99819946289062,302.8428649902344,201.51673889160156
